report_number,title,incident_date,place   ,governorate,city/town,addess/description,description,categories,location,reporter_state,gender_harassed,age_harassed,age_reporter,age_harasser,intervention,incident_place_type,edu_harassed,edu_reporter,report_date_time
809,Groping,06/06/2012 1:35,"Tahrir, Hardees and pizza hut",Cairo,Cairo,"Tahrir, Hardees and pizza hut",we were grabbed and groped and one of us got raped.,"Indecent exposure,Sexual assault","30,043817,31,235568",,,,,,,,,,06/06/2012 9:44
808,تحرش بالمقطم,05/26/2012 21:00,شارع 9، حديقة الاندلس، المقطم,القاهرة,القاهرة,شارع 9، حديقة الاندلس، المقطم,أنا و أمي كنا واقفين عند ناصية حديقة الأندلس ش9 في المقطم شفت عيل سيس بيعاكس واحدة من المنطقة. زعقتله و كنت حادخل خنافة معه و مع الشلة بتاعته. صحاب الواد قرروا يهدوا الموضوع و حاشونا عن بعض. أمي قالتلي كانوا حايتلموا عليك و يموتك. قلتلها أموت شهيد أحسن من اني أسكت على الظلم و القرف,"Comments,Stalking or following","30,007757,31,31258",,,,,,,,,,06/06/2012 9:38
807,تحرش في المعادي,06/02/2012 11:17,Road 9 Maadi,Cairo,Cairo,Road 9 Maadi,Was just groped by a guy in a light gray car on street parallel to rd 9 maadi,Touching,"30,044356,31,235847",,,,,,,,,,06/06/2012 9:23
806,اعتراض طريق,06/04/2012 1:16,طنطا شارع على الغريم من عمر بن عبد العزيز,الغربية,طنطا,شارع على الغريم من عمر بن عبد العزيز,"امبارح العصر كنت ماشى فى شارع عبدالحليم محمود من عمر بن عبدالعزيز 
الشارع كان هادى و مفيش حد ماشى و عربيه واقفه ونت جايه من ورا العربيه بتتكلم فى التليفون شاب نزل من العربيه عمل نفسه مشاى بعرض الشارع و اعترض طريق البنت كأنه بدون قصد و ضحك هو صاحبه اللى كان فى العربيه و مشى 
الموقف كان مفاجئ و اتحركو بالعربيه قبل ما اوصل عندهم",Stalking or following,"30,801183,30,997743",,,,,,,,,,06/04/2012 9:32
804,Women Racially Harassing Women,06/02/2012 13:11,Zamalek,Cairo,Cairo,Zamalek,"Walking in Zamalek, dressed in conservative but Western style clothing (coz I'm Western), a group of young women looked us up and down and laughed at us, saying ""Oh look we're in a foreign film!"" in Arabic.

If I saw two South Asian girls walking along the road, in England and I started laughing and saying ""Oh look, we're in a Bollywood film""  I would be fired from my job and made to pay compensation to them.

Racial harassment is not acceptable in any context.",Comments,"30,044356,31,235847",,,,,,,,,,06/02/2012 20:17
803,Strong visual harassment in Korba happened to me,05/21/2012 17:33,korba,Cairo,Cairo,korba,Strong visual harassment in Korba happened to me,Facial expressions,"30,091598,31,326356",,,,,,,,,,06/02/2012 10:52
802,حيوانات,05/31/2012 13:20,6 اكتوبر الحى السابع المجاورة التانية والتالتة و الاولى,الجيزة,الجيزة,6 اكتوبر الحى السابع المجاورة التانية والتالتة و الاولى,"منتشرين الناس الى بتظهر عضوها الذكرى و كتيير مش واحد ولا اتنين
فى 6 اكتوبر
الحى السابع فى الجناين و بين العمارات 
حتى لو مشيت فى الشارع 
بيبقو اعدين فى العربيات",Indecent exposure,"30,044356,31,235847",,,,,,,,,,05/31/2012 13:26
801,فى بورسعيد التعرض للتحرش روتين يومى,05/31/2012 1:01,"Port Said, Qesm Ash Sharq, Bur Sa'id, Egypt",Port Said,Port Said,"Port Said, Qesm Ash Sharq",كل ده أه و الله .أنا كنت عايزة اسأل اذا كان ليكم نشاط فى بورسعيد. لان هنا فى وقائع مش واقعة واحدة يعنى ممكن بنت يحصلها أكتر من 6 أو 7 مواقف فى اليوم متفهموش بقى بطاله ولا قله ادب,"Catcalls,Comments,Facial expressions,Indecent exposure,Ogling,Phone calls,Sexual invites,Stalking or following,Touching","31,263662,32,29453",,,,,,,,,,05/31/2012 9:08
800,followed by delivery driver,05/27/2012 13:55,road 216,Cairo,Cairo,road 216,"walking along road 216 in Maadi, a delivery guy on a moped kept driving round in circles following me. He made some comments and drove off. Then as I passed a side street I saw him waiting there, he was staring at me - I didn't look too closely - but he (faked?) orgasmed and then drove off again.","Comments,Indecent exposure,Stalking or following","29,960289,31,257734",,,,,,,,,,05/27/2012 17:58
799,followed on rd 84 maadi,04/06/2012 16:40,Maadi Metro Station (محطة مترو المعادي),Cairo,Cairo,Maadi Metro Station (محطة مترو المعادي),"Walking along road 84 I was followed for quite a while by a young guy. He asked me for an interview. I said no, he turned away and said 'I like your breasts' and then left me alone.","Comments,Stalking or following","29,960289,31,257734",,,,,,,,,,05/27/2012 17:54
798,"تحرش جسدي ""لمس"" - بعد حفلة مشروع ليلى",05/18/2012 23:50,"Al-Jizah, Tag Ad Dewal, Embabah, Giza, Egypt",Giza,Giza,"Al-Jizah, Tag Ad Dewal, Embabah, Giza, Egypt","بعد انتهاء الحفل .. كل اصحابنا روحوا وبقيت انا و٣ منهم ""بنات بس"" و.. وقفنا قصاد البوابة في الشارع واخويا راح يجيب العربية عشان كانت بعيد جدا.. اتأخر جدا عشان الشارع كان زحمة.. بس احنا كمان كان حوالينا زحمة جدا من ناس خارجة من الحفلة زينا وناس واقفة في الشارع.. 
فجأة واحد وكان واقف معاه ييجي ٥ اصحابه (من اهالي المنطقة) .. عدوا وعاكسوا بعدين وقفوا سندوا على السور جنبنا وفجأة واحد فيهم مد ايده من تحت عليا .. بكل ثقة كأن ده شيء عادي جدا .. انا اتلفت والادرينالين علي وماكنتش عارفة انطق من وشديت شنطة صحبتي عشان تقيلة وفيها كاميرا وقعدت ارزع بيها على دماغة .. وهوه فضل واقف زي الشجرة مش بيبعد ومش بيرد حتى .. الناس اتلمت بتقوللي في ايه في ايه وبعدوني عنه .. فانا لمااعدت اصرخ واشتم فيه .. هوه مااتضايقش تقريبا غير هنا وقعدةيقول ليه الغلط بس يا ابله .. المهم الناس بعدتني عنه .. ومعملولهوش اي حاجة .. انا وقفت دقيقة بعيد اهدى واعدل هدومي واشوف كاميرة صحبتي اللي اتكسرت .. فجأة ببص لقيته جاي ناحيتي تاني والعيال اصحابه دول حواليه .. والناس كلها رجعت لحالها.. وجاي يقوللي انتي طلعتي مش محترمة .. انا اتجننت اكتر وقعدت اشوت فيه برجلي واصحابي يشدوني .. بس المرة الدي الناس حرفيا وقفت تتفرج من بعيد .. ودي كانت اكتر لقطة صادمة لية الحقيقة .. الناس وهية بتتفرج من بعيد بالمنظر ده .. قعدت اشتم فيهم كلهم وفي الولاد اللي معاه وحواليه .. دي اول مرة اقف اشتم في الشارع كده .. الموقف خرج فيا جزء اول مرة أعرفه .. شتمت اللي واقفين كلهم قلتلهم يا خولات .. خولات ايه انتوا مش بني ادمين اساسا .. والناس برضه وقفت تتفرج لحد ما هو مشي وهوه بيتفرج عليا زي ما اكون كائن فضائي ..","Comments,Touching","30,018383,31,220101",,,,,,,,,,05/25/2012 14:16
797,Attack in Mohandseen,05/24/2012 13:00,26th July bridge - stairs from Mohandeseen,Giza,Giza,26th July bridge - stairs from Mohandeseen,"Was walking up the stairs to cross the bridge from Mohandeseen into Zamalek when I felt something on my butt. Turned around and saw a man smiling. I smacked him across the face, at which point he grabbed my chest and tried to push me against the wall. I started screaming ""harami"" - thief and a bunch of men came over.  The assaulter ran away.  The men asked me what he stole, and I told them he didn't steak anything but grabbed my body.  They said ""oh, nothing to worry about then.""","Sexual assault,Touching","30,044356,31,235847",,,,,,,,,,05/24/2012 15:02
796,Attack in Mohandeseen,03/27/2012 11:00,"Ahmed Orabi, Mohandessen",Giza,Giza,"Ahmed Orabi, Mohandessen","Was walking down Ahmed Orabi at about 11 am in Mohandeseen, young boy about 20 came up and started following me.  I tried walking a few different ways, but he followed me, asking me for my phone number, eventually grabbing my arm. I hit him across the face at which point he grabbed my breasts. I hit him again and he hit me back, I kept hitting him and started screaming.  Eventually a group of men came and pulled him off of me.","Sexual assault,Stalking or following,Touching","30,064266,31,204175",,,,,,,,,,05/24/2012 15:00
795,Bathroom attendant stalker,05/22/2012 1:06,Suez,Suez,,,"We stopped at a rest stop on the way back to Cairo from Suez. The bathroom attendant followed me into the men's bathroom (I'm a guy) and came up behind me into my stall when I was peeing. He reached his hand out to my side and began approaching me as he reached downward as he smiled at me. I pushed him away saying ""لا لا لا لا"" When I finished peeing he reached out again to caress my arm. I left and told the guy outside that the bathroom attendant, ""Really liked foreigners.""","Sexual invites,Stalking or following,Touching","29,96667,32,55",,,,,,,,,,05/22/2012 7:12
794,تحرش باللمس,05/22/2012 1:22,طنطا - امتداد شارع حسن رضوان من البحر امام ادارة الجامعة,Gharbia,طنطا,امتداد شارع حسن رضوان من البحر امام ادارة الجامعة,راجل كبير شكله عادى يعمل انه بيعدى من جنب البنت على الرصيف عشان يعديها لان الشارع ضيق والعربيات ماشية فيه ويادوب الكل ماشى صف ورا بعضه على رصيف رفيع ويخبط فيها كانه مش قاصد ويعديها ويمشى شوية لقدام وبعدينيلف و يرجع تانى ويخبط فى اى حد تانى او فى البنت اللى خبطها قبل كده تانى,Touching,"30,044356,31,235847",,,,,,,,,,05/22/2012 1:28
793,SuperJet Bus,05/18/2012 0:41,"Cairo and Alexnadria Superjet stations, and on the high way.",Cairo,Cairo,"Cairo and Alexnadria Superjet stations, and on the high way.",A passenger next to me asking me about why I am travelling and asking for my personal mobile number and same happens in the station once I get out of the bus.,"Catcalls,Comments,Sexual invites","30,04442,31,235712",,,,,,,,,,05/18/2012 0:43
790,واقعة تحرش كادت ان تفضي الي اغتصاب وهتك عرض,05/17/2012 1:08,رقم 15شارع المهراني الفجالة رمسيس خلف مدرسة العائلة المقدسة - جمعية النهضة العلمية والثقافية,القاهرة,القاهرة,رقم 15شارع المهراني الفجالة رمسيس خلف مدرسة العائلة المقدسة - جمعية النهضة العلمية والثقافية,تحرش من قبل زميل العمل وملامسة جسدية عنيفة ومحاولة للتلامس والالتحام والاغتصاب بالعنف لولا احداث ضجة ترك علي اثرها الجاني ضحيته ومضي وخرجت هي مرتبكة من المكان باكمله وحاولت تصعيد الامر لرئيس العمل لانها لم تذهب للعمل من وقت الحادثة ولكن الواسطة تدخلت لتصبح البنت محل احترام الجميع فجاة هي مصدر شكاوي الجميع وانها مسؤولة عن ذلك وتم بموافقتها ولم تستطع فعل اي شئ سوي ترك العمل ولكنني ساصعد الامر لاعلي درجاته لاني اثق في اخلاقها جدا لانها اقرب اصدقائي,Sexual assault,"30,044356,31,235847",,,,,,,,,,05/17/2012 2:14
789,harassed by shopkeepers on Abdul Hamid Street,05/16/2012 13:54,"Corner of Abdul Hamid and Champillion, between the Odeon Hotel and Talaat Harb Street. #3 Abdul Hamid",Cairo,Cairo,"Corner of Abdul Hamid and Champillion, between the Odeon Hotel and Talaat Harb Street. #3 Abdul Hamid","Was harassed by two workers at a store on Abdul Hamid Street, between Odeon hotel and Talaat Harb.

I work downtown and was walking to Talaat Harb Street to take a cab, as I do every day, at 5pm. They told me I was very beautiful and that they wanted to ""f*ck"" me. 

A male Arab friend of mine who lives nearby came down to scold them, and the rest of the people on the street told him to let it go, and that it wasn't that big of a deal.","Comments,Ogling","30,082949,31,246957",,,,,,,,,,05/16/2012 19:03
788,مكالمات و الفاظ خارجه صريحه و تحرش جنسي بالمكالمات,05/14/2012 0:00,New nozha,Cairo,Cairo,New nozha,"0101503XXXX
This no is keep calling me never get borded and tell a v rude sexual words and discriptions","Phone calls,Sexual invites","31,195251,29,916726",,,,,,,,,,05/15/2012 3:15
787,شارع ضياء,05/13/2012 1:49,شارع ضياء,,,شارع ضياء,شارع بقي زباله و بيقه من كتر المعاكسات,"Catcalls,Comments,Facial expressions,Ogling,Stalking or following,Touching","29,998912,31,170525",,,,,,,,,,05/13/2012 9:53
786,Zamalek Disabled Woman Stripped,05/11/2012 11:06,Zamalek,Cairo,Cairo,Zamalek,"Outside the Romanian embassy, as I passed in a car, I saw a woman being stripped by two boys.  I got out of the car to confront them, but they made away on bicycles.  I spoke to the woman and tried to comfort her as she was very distressed. She had dressed herself again. 

The security guards were laughing and saying ""magnoona, magnoona""  

The woman is a vulnerable, handicapped woman who might be homeless.","Sexual assault,Touching","30,058843,31,220397",,,,,,,,,,05/11/2012 11:10
785,مدرس ثانوي يتحرش جنسيا بطالباته عنوه ويهددهم .. انجدونا بقي شهر فقط علي الامتحانات,05/10/2012 12:32,( سنتر طيبة للدروس الخصوصية ) بشارع فاطمة رشدي المتفرع من شارع الهرم وايضا من شارع خاتم المرسلين وهناك علامة مميزة ناصية بنزينة الريان في شارع خاتم المرسلين,Giza,Giza,( سنتر طيبة للدروس الخصوصية ) بشارع فاطمة رشدي المتفرع من شارع الهرم وايضا من شارع خاتم المرسلين وهناك علامة مميزة ناصية بنزينة الريان في شارع خاتم المرسلين,"اختي بالصف الثالث الثانوي كانت تاخذ درس مع مدرس لغة عربية يدعي طارق  بسنتر طيبة وعلمت اختي من زميلاتها انه قام بالتحرش الجنسي عليهم وهذا من اكثر من بنت ويهددهم بابلاغ اهاليهم وانا جعلت اختي تترك المكان مع ان بقي لها اقل من شهر ولابد ان تراجع معه الباقي لها ولكتي خشيت عليها منه فاجبرتها علي تركه والله اعلم ان يكون تحرش باختي وهي تخشي الكلام ..
حاولت ان اجعل صديقاتها المقربين ان يتركو المكان ولكنهم خائفين علي مستقبلهم بقي شهر علي الامتحانات وخائفين ان يضرهم جنسيا ايضا فلا نعلم ماذا نفعل ..
ارجوكم ان تقبضوا علية .. اللهم احمي بناتنا اجمعين.","Indecent exposure,Ogling,Sexual assault,Stalking or following,Touching","30,001328,31,192696",,Man,Above 46,,,Yes,,Did not go to school,,05/10/2012 13:03
784,Harassed on my way to work,05/10/2012 12:20,Corner of Mohamed Mahmoud & Abd El-Megid El-Remaly St,Cairo,Cairo,Corner of Mohamed Mahmoud & Abd El-Megid El-Remaly St,"insulted, followed and touched in bab-el-louk(down-town) within the 200m from home to work, at 9am on broad daylight and with a lot of people on the streets.","Comments,Stalking or following,Touching","30,042517,31,243229",,,,,,,,,,05/10/2012 12:26
782,"Zamalek, corner of 26th of July and Shagarat el Dorr",01/15/2010 15:00,Zamalek - Shagaret El Dorr St. (الزمالك - ش شجرة الدر),Cairo,Cairo,Zamalek - Shagaret El Dorr St.,A guy grabbed my boob while crossing me on the sidewalk.,Touching,"30,062519,31,219625",,,,,,,,,,05/09/2012 18:31
781,ابتزاز جنسى,05/09/2012 12:44,الدقى,الجيزة,الجيزة,الدقى,كانت على علاقه كالخطوبه معه وفيها تم نسخ صورها من هاتفها المحمول والان يهددها ان لم تستجيب له سيتم نشر صورها بقمصان النوم الخاصه بها فى محيط المنطقه ولا تعلم كيف تتصرف وهل هناك رقم هاتف للتواصل مع حضراتكم اذا وجد فهاتفى المحمول رقمه 0111330.... ولسعادتكم جزيل الشكر,Stalking or following,"30,044356,31,235847",,,,,,,,,,05/09/2012 12:51
780,Friday Market,05/08/2012 13:25,"Friday Market, pet section",,,"Friday Market, pet section","American living in Egypt, groped in a crowd at the Friday market",Touching,"30,022854,31,25842",,,,,,,,,,05/08/2012 18:47
779,تحرش فى الاماكن العامة,05/08/2012 12:02,الفيوم وسط البلد,Faiyum,Faiyum, وسط البلد,"تحرش فى الاماكن العامة 
كثير ما يحدث التحرش العلنى فى الاماكن العامة 
اوقات التجمع 
الاعيد يوم الخميس 
الاجازات الرسمية هناك بعض الطرق التى يفضلها الفتيات للخروج 
ولاكن لا ينعمون باى نعمة بسبب الشباب المتربسين بهم","Catcalls,Comments,Facial expressions,Indecent exposure,Ogling,Stalking or following,Touching","29,417016,30,712002",,,,,,,,,,05/08/2012 12:28
778,elshikh zaid,05/06/2012 13:18,el shikh zaid,Giza,Giza,el shikh zaid,"Was in a car and covered car numbers
Car Peugeot black Old Model
young guy",Touching,"30,045545,30,992088",,,,,,,,,,05/06/2012 15:24
777,معاكسات وتحرشات بالجيزة,05/05/2012 13:04,شارع العريش بالجيزة وشارع مخزن الانابيب بفيصل,الجيزة,الجيزة,شارع العريش بالجيزة وشارع مخزن الانابيب بفيصل,"اود ان اترك لكم بعض اسماء للاماكن التي تعرضت فيها انا وصديقاتي للمضايقات  وهي اولا شارع العريش الممتد بين الهرم وفيصل وده فيه تعديات لفظيه  وملامسات يدويه ومتابعات وملاحقات
ثانيا شارع مخزن الانابيب بفيصل خاصه وقت تجمهر الناس امام مخزن الانابيب للحصول علي انبوبه البوتجاز  والعاملين بالفرن  الموجود امام عطار شيخ البلد  ثالثا شارع خاتم المرسلين  ولانهم اماكن سكني وعملي حبيت اعلم عليهم انهم مناطق غير امنه وياريت تكون في حملات توعيه لشباب الاماكن دي الي كانوا واقفين بشهامه وقت اللجان الاهليه بيحمونا من اي اذيه  ياريت نرجع نشوف رجاله في شوارعنا  نتحامي فيهم وقت اللزوم مش نفكر ازاي نتعلم ندافع عن نفسنا منهم","Comments,Ogling,Sexual invites,Stalking or following,Touching","30,044356,31,235847",,,,,,,,,,05/05/2012 18:18
776,تحرش,05/04/2012 14:44,المرحلة التاسعة,,,,"كنت داخلة بيتي وبفتح الباب لاقيته واقف ورايا بيزقني ع الباب وكان كاشف عن عورته زقيته ودخلت بيتي بسرعة وقفلت الباب 
واتلفظ لفظ بذيء","Comments,Facial expressions,Indecent exposure,Stalking or following,Touching","30,56269,32,341998",,,,,,,,,,05/05/2012 11:59
775,Bus 926 el na2l el 3am we microus,05/04/2012 23:53,5at bus 926,,,5at bus 926,"1.we ana mashyaa fel shar3 3arbyat bto2aff
2. we fel microbus by7ot edo 3ala reglyy  aw y3od ymsa7 reglo fe regly 
3. Fe bus 926 by2of waraya we bylmsni be 3odwo elzakry mn wara fe gesmy 
4.byboso btre2aa mostafezz  3ala  el gesm ma3eny ana lebsy e7l mo7trm 
5.mokalmaat fel mobile by3akes we y2ol3awez anam ma3aki we  kalam 2alil el adbb we ay7a2at we y2od ytklm kteer lama  a2fel fe wesho  
 Bgd ana msh  3arfaa a2ol  a bas mnhom lelahh ! Da  3eer lama  ana  batklm el nas t2olii  ehdy ya anesa we mtfd7ish nafsek badal ma yhz2o 7aga mostfezaa  bgd.. Yret yb2a fe 7al","Ogling,Phone calls,Sexual invites,Touching","30,044356,31,235847",,,,,,,,,,05/05/2012 0:06
774,Ibrahim st korba,05/02/2012 18:38,Ibrahim st korba,Cairo,Cairo,Ibrahim st korba,"Ibrahim st korba beside malky
strong visual harassment",Comments,"30,092564,31,324253",,,,,,,,,,05/04/2012 13:27
773,Men in cars shouted sexual things while i was crossing a busy street,05/02/2012 18:38,Sh Thawra and nozha.,Cairo,Cairo,Sh Thawra and nozha.,Men in cars shouted sexual things while i was crossing a busy street. Sh Thawra and nozha.,"Catcalls,Comments,Facial expressions","30,083058,31,342192",,,,,,,,,,05/04/2012 13:26
772,A male 30s passenger harassed 3 teenage girls visual n verbal,05/02/2012 18:38,downtown,Cairo,Cairo,downtown,A male 30s passenger harassed 3 teenage girls visual n verbal,"Catcalls,Comments,Facial expressions","30,044356,31,235847",,,,,,,,,,05/04/2012 13:23
771,Unnecessary Grop,05/04/2012 1:19,Zamalek,Cairo,Cairo,Zamalek,"Walking with 3 friends at 10 pm on Abo El Fedaa Street, Zamalek. Car slowed down, guy pulled window down- and groped my friends ass. She screamed extremely loud. Guys came running to ask what was wrong. They asked her if she still had her purse, she replied yes. Their reply was, ""Okay, so what's the problem here?""",Touching,"30,067683,31,218166",,,,,,,,,,05/04/2012 4:22
767,humiliating,04/30/2012 21:38,"ibn el hakaam in the ""center"" where all the shops are located",,,"ibn el hakaam in the ""center"" where all the shops are located","Was standing with my husband in the street waiting for a taxi then a group of boys came towards me, one of them smacked my ass and licked my ear while saying ""Gameela"" If i wasn't with my husband at this moment i would probably attack him as i saw black and asked my husband to go and kill him.
good for the boys that my husband was there cause next time i wont be calm like this","Comments,Indecent exposure,Touching","30,044356,31,235847",,,,,,,,,,05/03/2012 20:45
766,رفع مطواة علي فتاة علي شارع الهرم الرئيسي,05/03/2012 13:38,الطالبية - هرم,الجيزة,الجيزة,الطالبية - هرم,عند عبوري الطريق قام شاب في العشريين من عمرة بالصدام بي قاصدا المضايقة و لم ارد علية و اكملت في طريقي فقام بلمسي مرة اخري مما اذار في الذعر فقمت بأستخدام السلف دفنس الخاص بي و عندها هاج الشاب جدا و معه 2 اصدقاء         قاموا بفتح المطوة(سلاح ابيض) علي وجهة ليأخذ مني السلف و عندها انتباتني حالة من الفزع من الثلاث شباب و هم يحملون المطواه علي وجهي و شولت يدي وتفكيري علي ان اعطي لة السلف..و لا أحد من رجال الشارع المملوئين شهامة أستطاع ان يتدخل و يحميني و هم يشاهدون هذا الفيلم المرعب بل علي العكس عندما حاولت ان اختبئ بداخل محل أحدهم لطلب الحماية طلب مني الخروج لانة لا يريد ان يتدخل... و ما من رجل شجاع ألا رجل صاحب كافية أدخلني لاختبي باحمام الخاص بالكافية و بعدها و مع      تصميم أطضررت علي تصميم الشباب علي أخد السلف و إلا        يسيقطعون وجهي أضطررت علي أن أعطي لة السلف و عندها فقط وافقوا ان يتركوني...مع العلم اني كنت مع خالتي و بنتها و عند محاولة خالتي الدفاع عننا قام الشباب بإنتهارها و سببوا في وفوعها علي الارض و علمنا بعد ذللك انهم دائما الشجار في هذة المنطقة (الطالبية هرم أمام محل الاستاذ للاحذية النسائي)و فرضين انفسهم علي اساس انهم بلطجية المنطقة ولا احد يستطيع ان يقف امامهم....و لكن بعد كل هذا لا اتعجب إلا من الرجال المصريين المعروف عنهم الشهامة و الرجولة أين كانت هذة الصفات و هم يروون شاب  يتعرض لفتاة بسلاح ابيض لمجرد انها كانت تحاول الدفاع عن نفسها...و ملحوظة اخيرة عندما قمت برش السلف لا استطيع ان ارش علية  لانة كان بع يعني كل دا و مفيش حاجة جت فية أصلا........ه,"Stalking or following,Touching","30,005295,31,214836",,,,,,,,,,05/03/2012 14:02
762,تعليقات رخمة,05/01/2012 22:12,الحلمية الجديدة شارع على مبارك,القاهرة,القاهرة,الحلمية الجديدة شارع على مبارك,كنت بمد عشان متاخرة ع الدرس انا وصاحبتى وكنا فاكرين الشارع فاضى فجرينا (مع العلم انى حتى لو جريت محدش له حاجه عندى) المهم قالنا اجرو اجرو اصل الجرى رياضة وكمان كلمة خارجه,Comments,"30,044356,31,235847",,,,,,,,,,05/01/2012 22:14
761,أثناء السير,05/01/2012 12:00,Abbassia - Ahmed Said St. (العباسية - ش أحمد سعيد),القاهرة,القاهرة,العباسية - ش أحمد سعيد,أثناء عبور الطريق,Catcalls,"30,06642,31,270695",,,,,,,,,,05/01/2012 11:59
760,اماكن يكثر فيها التحرش بمنطقة الزمالك,04/30/2012 1:36,الزمالك,القاهرة,القاهرة,الزمالك,"ولو اني مش عارفة انتوا بتعملوا ايه بالبلاغات دي بعد كده بس حقول اللي اعرفه عن منطقة سكني كنوع من المشاركة واهو ابقى عملت اللي عليا

انا بلاحظ ان فيه منطقتين بيكثر فيهم التحرش اللفظي (الحمد لله مفيش جسدي لان الزمالك تظل امان برضه):
- شارع ابو الفدا من بداية تحت كوبري 15 مايو..الممر الموازي المطل على النيل مباشرة..ده اصلا مش منظور نظرا لتغطية الكوبري عليه وما عليهوش اي نوع من الرقابة على فكرة
- من عند سفارة لبنان الامن المركزي اللي بيبقى واقف عليها هم شخصيا اللي بيتحرشوا باللي رايحة وجاية سواء بالكلام او البسبسة او اخراج صوت معين محدثه الفم او تعمد الغناء عند المرور

شوفوا حتقدروا تعملوا ايه في الاماكن دي..شكرا","Catcalls,Comments,Ogling","30,060335,31,219475",,,,,,,,,,04/30/2012 1:43
758,Safir Hotel Dokki - Guy masturbating at window while other making explicit gestures,04/27/2012 13:00,Dokki - Hotel - Midan Mesaha,Giza,Giza,Dokki - Hotel - Midan Mesaha,"At the pool at a hotel on Midan Mesaha. A guy on one of the hotel balconies above the pool was staring at us and masturbating. On another hotel balcony a man made sexually explicit guestures with invitation to come up to his room. We informed the staff and management of the sexual harassment, and the rooms it had occured from, got our money back and left.","Indecent exposure,Sexual invites","30,042944,31,211643",,,,,,,,,,04/27/2012 16:21
757,Ahmed Heshmet St Soliciting Sex,04/27/2012 13:20,Ahmed Heshmet,Cairo,Cairo,Ahmed Heshmet,"A man in a dirty, orange t shirt followed me and asked me where I live.  He asked me if I had an apartment and if I could have sex with him.  I called out for help but the people and staff, who know me quite well, from Seoudi Market, Costa Coffee and around just gathered and laughed.  They enjoyed seeing me upset and had a good old giggle.  There was a police man, but he didn´t do anything.  The British embassy rep has told me that the cop was probably afraid.  I have been advised to call back on Sunday to make a report.","Sexual invites,Stalking or following","30,065529,31,221513",,,,,,,,,,04/27/2012 15:26
756,"الحي السابع - مدينة نصر ""الرصيف المقابل للشبراوي"" - القاهرة",04/26/2012 17:00,الحي السابع - مدينة نصر,القاهرة,القاهرة,الحي السابع - مدينة نصر,من باعة جائلين,"Comments,Ogling,Stalking or following","30,046989,31,326999",,,,,,,,,,04/26/2012 22:01
755,Right beside City Stars Femal Harassing Male!!,04/26/2012 13:58,جانب سيتي ستارز من ناحية مسجد القوات المسلحه,القاهرة,القاهرة,جانب سيتي ستارز من ناحية مسجد القوات المسلحه,"البنت بتقولي : ""يا عم الصن جلاصسز يا عم براحه علينا!!"". انا كنت ماشي بجانب المول من جهة مسجد القوات المسلحه!!",Comments,"30,10677,31,367131",,,,,,,,,,04/26/2012 15:04
754,sexual phonecalls and voice mail.,04/26/2012 13:47,بين السرايات,الجيزة,الجيزة,بين السرايات,"i received sexual phone calls and when i stopped answering .. he sent me voice messages include sexual content from two numbers: 0109915XXXX, 0122930XXXX",Phone calls,"30,044356,31,235847",,,,,,,,,,04/26/2012 13:53
753,النظر المتفحص للجسد,04/25/2012 13:11,تقاطع شارع سليمان اباظه مع جامعه الدول المهندسين,الجيزة,الجيزة,تقاطع شارع سليمان اباظه مع جامعه الدول المهندسين,النظر المتفحص للجسد,Ogling,"30,050671,31,20085",,,,,,,,,,04/25/2012 15:18
752,harassment,12/31/2003 16:38,"Koleyet el tarbeya, Heliopolis",Cairo,Cairo,"Koleyet el tarbeya, Heliopolis",in El nozha metro,Touching,"30,044356,31,235847",,,,,,,,,,04/25/2012 11:46
751,a guy that i don't know keeps calling & bugging me,04/25/2012 11:06,cairo,Cairo,Cairo,,0100041XXXX keeps calling me & bugging me,Phone calls,"30,044356,31,235847",,,,,,,,,,04/25/2012 11:08
750,تحرش باللفظ ثم شتيمة,04/24/2012 11:30,امام مدخل سينما جالاكسى- مدخل التذاكر,القاهرة,القاهرة,امام مدخل سينما جالاكسى- مدخل التذاكر,"عند سينما جالاكسى حيث كنت ذاهبة الى شركة التأمين بنفس المبنى , واحد حيوان بموتوسيكل معدى من جنبى راح مهدي و قاللى : نفسى اشوفنا انا و انت بلابيص مع بعض... قررت ماسكتش المرة دة و شتمتة: يا حيوان يا قليل الادب. قام موقف الموتوسيكل و بصلى و قاللى يللا يا مرة يا خول.. و حاجة كمان بس مش فاكراها.. هو اية يتحرشوا بينا و مش عاجبهم ندافع عن نفسنا و لو بالشتيمة؟ دة حصل امبارح بس انا لسة لاقية الموقع دة انهاردة مكنتش اعرف ان فى مكان ممكن ابلغ فية. بس اية العمل بعد كدة.. ازاى احس انى بنئادة مش حتة لحمة مشاع ماشية فالشارع ؟؟!!",Sexual invites,"30,044356,31,235847",,,,,,,,,,04/25/2012 8:14
749,groped at 8 in the morning,04/25/2012 1:01,مطلع المحور فى شارع السودان,الجيزة,الجيزة,مطلع المحور فى شارع السودان,"i crossed the street to walk 3 buildings to catch my university bus, and an asshole walking in the other direction passed me and forced me to get stuck between him and a parked car and touched my behind",Touching,"30,045768,31,193189",,,,,,,,,,04/25/2012 2:04
